,ID,fake_news,text,author,average_word_length,category,date_publication,link,percent_speeling_errors,number_words
0,1,1,kátia abreu diz vai colocar expulsão moldura reclamar senadora kátia abreu partido to disse expulsão pmdb resultado ação cúpula atual legenda segundo oportunista amanhã vou botar moldura dourada expulsão porque mãos onde veio atestado boa conduta currículo pessoas expulsaram servem país servem país benefícios próprios disse kátia abreu ué expulsão algo tão bom currículo tanta choradeira kátia sabemos motivo provavelmente kátia valor pt partido deveria tê la absorvido parece pt gostava kátia somente ficasse entrincheirada dentro pmdb rebaixar demais resta kátia ficar chorando pitangas todos cantos tempo momento pt cadastrou kátia abreu fileiras situação patética ex ministra agricultura dilma,mrk,4.40541,politica,2017-11-30,https://ceticismopolitico.com/2017/11/30/katia-abreu-diz-que-vai-colocar-sua-expulsao-em-uma-moldura-mas-nao-para-de-reclamar/,0.0,99
1,2,1,blog esquerdista dá entender reclamar dedada futebol sinal homofobia texto jorge gauthier blog salte jornal correio 24 horas acha pessoal reclamando demais dedadas zagueiro rodrigo ponte preta deu atacante tréllez vitória jogo time paulista perdeu lance ocorreu 19 minutos primeiro tempo ponte preta vencia jogo rodrigo expulso após introduzir duas vezes dedo médio nádegas jogador vitória gauthier diz estar espantado medo especialmente heteros tendo abordar assunto segue acho interessante muitos sequer conseguem falar palavra bunda heterossexualidade tão frágil alguns sequer conseguem dizer jogador botou dedo bunda outro gente falar bunda dói vi vídeo tréllez recebeu dedadas deve ter sentido dor melhor dedada tréllez fez dois gols garantiram triunfo vitória falar vai fazer ser menos hetero outro ser luz disse botar dedo lá pode senão pode gostar criatura medo sexualidade apenas viva vida afirma blogueiro blogueiro repulsa decada corrobora machismo futebol necessidade masculina colocar futebol algo apenas hetero irritante desnecessária afirma entendemos argumentação blogueiro diz apenas gays dão dedadas porém falamos caso dedada homem outro pessoas sexos opostos cada,None,4.40333,sociedade_cotidiano,2017-11-28,https://ceticismopolitico.com/2017/11/28/blog-esquerdista-da-a-entender-que-reclamar-de-dedada-no-futebol-e-sinal-de-homofobia/,0.0133333,168
2,3,1,alckmin diz psdb desembarca explica utilizará aparelho filme mib governador paulo geraldo alckmin assegurou nesta terça 28 assumir presidência psdb previsto partido desembarca governo michel temer acho nenhuma razão continuar governo hoje penso assim reformas vão continuar acrescentou entrevista jornalista josé luiz datena rádio bandeirantes escolhido ser presidente nacional psdb após aliança tucana busca mitigar clima caos absoluto partido nomes marconi perillo go senador tasso jereissati ce desistiram presidência prefeito manaus arthur virgílio entanto gostou acordo atitude desembarque alckmin típica mania recente tucana apelar pior tipo oportunismo porém alckmin fará pessoas esquecem partido aliado governo atual tantos meses aliás parceria psdb dificilmente dilma caído goste alckmin anexados ser providenciado mesma tecnologia utilizada série filmes mib men in black permitia agentes apagarem memória pessoas caso contrário desembarque diminuirá desgaste,None,4.79911,politica,2017-11-28,https://ceticismopolitico.com/2017/11/28/alckmin-diz-que-por-ele-psdb-desembarca-mas-nao-explica-se-utilizara-o-aparelho-do-filme-mib/,0.0,128
3,4,1,cara pau limites zé celso aciona mp contra silvio santos teatro oficina procurou ministério público federal mpf nesta terça feira tentativa violar direitos silvio santos deseja erguer três torres residenciais cem metros altura cada informações veja empresário dono terrenos volta teatro executa direito propriedade negando trocá los outros oferta feita ministério planejamento grupo teatral fez sede local cerca sessenta anos ocupa prédio leva assinatura lina bo bardi mesma masp sesc pompeia alega danos projeto arquiteta prevê contracenação bairro bexiga cidade através janelão aberto paredes edifício inclui ainda parque cultural chegou fazer ter morrido antes concluir proposta procura ministério público federal nova estratégia desrespeito propriedade privada feita grupo teatral silvio santos deixou aceitar provocações rompeu diálogo companhia outubro silvio santos reverteu decisão ainda 2016 condephaat órgão estadual proteção patrimônio público impedia construir volta teatro oficina agora levar projeto imobiliário adiante busca aval níveis municipal federal joão doria pisou bola ter feito reunião passado zé celso silvio santos gente respeita propriedade privada deve haver diálogo silvio santos vá pra briga pois direitos proprietário,None,4.60825,politica,2017-11-28,https://ceticismopolitico.com/2017/11/28/cara-de-pau-nao-tem-limites-ze-celso-aciona-mp-contra-silvio-santos/,0.00343643,171
4,5,1,temer resolve problema luislinda liberdade ainda tardia ministra direitos humanos luislinda valois entrou galeria noção pedir acumular salário função ministra aposentadoria desembargadora daria 61 mil além teto constitucional fazê lo alegou condição sombra dúvida assemelha trabalho escravo agora jornal carioca dia divulga temer decidiu demitir luislinda dar fim problema parece presidente ainda busca saída honrosa luislinda talvez outro cargo sabemos ainda substituta deve ser deputada federal licenciada tia eron prb atual secretária municipal promoção social importa luislinda enfim conseguiu liberdade ainda tardia,None,4.91729,politica,2017-11-27,https://ceticismopolitico.com/2017/11/27/temer-resolve-o-problema-de-luislinda-liberdade-ainda-que-tardia/,0.0,82
5,6,1,moro certo arrepender divulgação áudios lula dilma virou herói revista veja promoveu fórum amarelas vivo contou presença juiz federal sérgio moro evento indagado sobre divulgação áudio lula dilma março ano passado assim respondeu arrependo forma nenhuma embora ficado consternado celeuma divulgação causou opinião fiz lei exigia achei necessário disse exatamente conversas republicanas disse cabe poder judiciário servir guardião segredos sombrios governantes completou lembra época lula dilma conversavam telefone sobre indicação ex presidente ministério casa civil objetivo óbvio dilma indicou conceder foro privilegiado clara obstrução justiça partir revelação destes áudios criou clima enfim acabar governo tirânico dilma rousseff partir desse dia sérgio moro tornou herói nacional,None,4.62176,politica,2017-11-27,https://ceticismopolitico.com/2017/11/27/moro-esta-certo-ao-nao-se-arrepender-de-divulgacao-de-audios-de-lula-e-dilma/,0.0,105
6,7,1,mp pede proibição filmagens mam acaba praticando atentado contra humanidade ministério público paulo assinou minuta termo ajuste conduta museu arte moderna paulo conforme informações ilisp assinatura documento permitiu arquivado inquérito investiga mam sp performance la bête ocorreu abertura 35o panorama arte brasileira ocasião criança induzida mãe tocar corpo homem nu caso ganhou repercussão internacional acordo minuta museu fica responsável impedir filmagens fotografias evitar divulgação casos similares aconteça grave toda história atual estágio evolução humanidade câmeras aumentam segurança bandidos qualquer tipo capturados imagens restringe crime qualquer crime incluindo crime pedofilia obrigar mam proibir filmagens fotografias definem ambiente deve ser menos seguro cidadãos terrível deve ser configurado crime contra humanidade deputados precisam posicionar quanto,None,4.76733,sociedade_cotidiano,2017-11-27,https://ceticismopolitico.com/2017/11/27/mp-pede-proibicao-de-filmagens-no-mam-e-acaba-praticando-atentado-contra-a-humanidade/,0.0,112
7,8,1,hoje completou ano morte psicopatas repulsivos atual fidel castro filme morte demônio sam raimi 1982 refilmado 2013 deveria ter recebido tradução decente brasil the evil dead sido melhor traduzido mortos demoníacos algo tipo título morte demônio caberia melhor obra narrando dia fidel castro morreu 25 novembro 2016 exatamente ano diz matéria uol comemoração ano morte genocida havana muitas solenidades grupos comunistas sempre sádicos fizeram homenagens fidel claro maioria povo comemora dentro pudera fidel matou 100 000 cubanos tornou país paraíso prostituição luxo ainda hoje irmão raul castro dono todo povo grande curral gente macabro tudo muita gente ainda elogia sujeito pior ainda público ainda demoníaco,None,4.3315199999999985,politica,2017-11-25,https://ceticismopolitico.com/2017/11/25/hoje-completou-um-ano-da-morte-de-um-dos-psicopatas-mais-repulsivos-da-era-atual-fidel-castro/,0.0,105
8,9,1,palocci vai contar lula pagou propina ex presidente peru aumentar pressão sobre petista radar online divulga delação antônio palocci vai confirmar pedido odebrecht pagasse milhões dólares ollanta humala ex presidente peru atualmente preso ex ministro informações adicionais vai dizer ordem veio diretamente lula fato maior elo ligação poder empreiteira delação palocci segue sendo temida petistas panela pressão pode explodir próximos meses,None,4.55446,politica,2017-11-25,https://ceticismopolitico.com/2017/11/25/palocci-vai-contar-que-lula-pagou-propina-a-ex-presidente-do-peru/,0.0,61
9,10,1,dr ray peita bolsonaro chama conservador fake entrevista danilo gentili divide direita site vem avisando jair bolsonaro deveria abandonar pauta estatista vez fazer discurso convincente boa parte liberais conservadores brasil querem ver livres amarras estatais tudo bem pesquisas ainda dizem maior parte povo contra privatizações índice pouco 50 povo fácil ser revertido ademais bolsonaro deveria falar direitistas vez focar tanto petistas arrependidos recentemente disse pensaria 200 vezes antes privatizar petrobrás caia mãos chineses algo tipo deveria ter dito garanto privatização petrobrás garanto chineses irão comprá la deixaria brechas jeito falou parece suposto medo venda chineses pretexto evitar privatização lá direita vai ter adotar alternativas foquem estado reduzido diminuição impostos venda estatais além joão amoedo dr rey fazendo vicejar tipo discurso ainda candidatura fase inicial complicado bolsonaro apareçam pessoas direita propondo visão economicamente direitista economia enfim veja 32 40 dr rey espinafrando bolsonaro dá brechas pode reclamar outros aproveitem,None,4.74409,politica,2017-11-24,https://ceticismopolitico.com/2017/11/24/dr-ray-peita-bolsonaro-chama-o-de-conservador-fake-em-entrevista-a-danilo-gentili-e-divide-a-direita/,0.00787402,148